question,content
Nổi hạch ở bẹn là dấu hiệu bệnh gì?,"Bẹn là vùng nằm giữa chân và khung chậu. Hạch vùng bẹn được chia thành 2 nhóm hạch là nhóm nằm ở nông và nhóm nằm ở sâu. Hạch có nhiệm vụ dẫn lưu dịch bạch huyết trở lại hệ tuần hoàn. Sưng hạch vùng bẹn là một triệu chứng của các bệnh vùng chân, bụng dưới, hậu môn, và cơ quan sinh dục ngoài.Hội chứng sưng hạch bẹn là tình trạng viêm của các hạch lympho ở vùng bẹn, có thể đau và có thể có mủ. Khi các hạch này vỡ ra, chúng sẽ giống các vết loét ở vùng bẹn. Hội chứng sưng hạch bẹn có thể xảy ra ở cả nam và nữ, thường do bệnh nhiễm khuẩn lây truyền qua đường tình dục gây nên.Hạch có thể bị sưng lên ở một hoặc cả hai bên bẹn. Những hạch bình thường sẽ có kích thước khoảng 1cm, còn nếu kích thước từ 1,5cm trở lên thì sẽ được coi là bất thường.Có nhiều nguyên nhân có thể làm hạch vùng bẹn sưng lên, tuy nhiên những nguyên nhân phổ biến là: Các bệnh gây qua đường sinh dục như xoắn khuẩn giang mai gây bệnh giang mai, trực khuẩn hạ cam gây bệnh hạ cam, lậu, herpes,...Nhiễm virus Epstein-Barr.Bệnh dịch hạch.Nhiễm Toxoplasma, có thể đi kèm một số triệu chứng khác như nhức mỏi, đau đầu, sốt,...Các khối u và nhiều loại ung thư ở vùng được dẫn lưu bạch huyết bởi hạch bẹn sẽ gây sưng như: Bệnh Leukemia: Bệnh ung thư của cơ quan tạo máu bao gồm hệ bạch huyết và tủy xương; Ung thư hạch bạch huyết hay còn gọi là u lympho. Có hai loại u lympho là u lympho Hodgkin và u lympho không Hodgkin.Các khối u ác tính vùng chậu và có thể di căn sang hậu môn, âm đạo và gây sưng hạch vùng bẹn.Ung thư tinh hoàn.Một số vắc-xin có thể gây sưng hạch như sởi, quai bị, thương hàn và rubella.Thuốc gây tác dụng phụ làm sưng hạch, tuy nhiên rất hiếm gặp: Thuốc Allopurinol điều trị Gout, Penicillin, Phenytoin và Carbamazepin điều trị rối loạn lưỡng cực và động kinh, Pyrimethamine điều trị sốt rét,...Những bệnh hệ thống gây sưng hạch vùng bẹn như viêm khớp dạng thấp, lupus ban đỏ hệ thống, sarcoidose,...Ngoài ra còn có viêm hạch, lao hạch cũng có thể gây sưng hạch vùng bẹn.Triệu chứng thường gặp của hội chứng sưng hạch vùng bẹn bao gồm:Hạch ở bẹn to một phía hoặc cả hai phía.Các vết loét, mụn nước, sần nhỏ vùng hậu môn, sinh dục trước đó hoặc kèm theo.Các biểu hiện khác ở da hoặc niêm mạc bao gồm: Sẩn mủ, sẩn, đào ban, đặc biệt chú ý vết thương ở trong lòng bàn tay và bàn chân.Sốt hoặc không sốt.Đối với mọi trường hợp sưng hạch bẹn nghi ngờ do bệnh lây truyền qua đường tình dục, cán bộ y tế cần xác định và điều trị cả cho bạn tình. Để điều trị triệu chứng sưng hạch, bác sĩ cần tìm được căn nguyên gây sưng hạch do một bệnh nào đó gây nên. Tuy nhiên, không phải lúc nào sưng hạch bẹn cũng do một bệnh nhiễm trùng nào đó, mà có thể là hạch lành tính.Những hạch sưng to, mềm, ấn thấy bùng nhùng có thể được chọc hút qua vùng da lành theo chỉ định của bác sĩ. Nếu việc chích rạch và dẫn lưu các hạch này có thể làm chậm quá trình lành vết thương thì bác sĩ sẽ cân nhắc có nên thực hiện chọc hút hay không.Tóm lại, hội chứng sưng hạch vùng bẹn là một triệu chứng của một bệnh nào đó và thường là bệnh lây truyền qua đường sinh dục, nhiễm khuẩn,... Do đó, khi có những dấu hiệu bất thường, bạn cần đến ngay cơ sở y tế để được thăm khám và điều trị kịp thời."
Dấu hiệu bệnh suy thận và phương hướng điều trị?,"Theo như bạn mô tả về triệu chứng lâm sàng và kết quả siêu âm của mẹ bạn thì mẹ bạn có khả năng bị viêm thận bể thận mạn do sỏi thận phải. Trường hợp sỏi gây viêm thận bể thận mạn có thể phải can thiệp ngoại khoa để lấy sỏi ra, ngoài ra còn phải làm xét nghiệm tìm yếu tố thuận lợi tạo sỏi như tăng axit uric máu, tăng calci niệu, rối loạn chuyển hóa calci - phospho,..... để từ đó dự phòng sỏi tái phát. Bạn nên đưa mẹ đến khám chuyên khoa tiết niệu để có chẩn đoán và điều trị thích hợp."
"Tôi năm nay 45 tuổi, giới tính Nam. Cách đây 2 năm tôi bị hội chứng thận hư và gout, hiện vẫn đang uống thuốc ngày 1 viên. Xin Bác sỹ cho hỏi trường hợp của tôi có tiêm được vaccine phòng Covid-19 không ạ?","Nếu các bệnh lý như thận hư, gout đã ổn định trong vòng 3 tháng trước khi tiêm chủng (có nghĩa là bệnh không cần thay đổi điều trị đáng kể hoặc nhập viện vì bệnh lý nặng hơn), các chỉ số xét nghiệm duy trì ở mức độ ổn thì anh hoàn toàn có thể tiêm được vaccine phòng Covid-19."
"Mẹ tôi năm nay 65 tuổi, bị bệnh Lupus ban đỏ hệ thống đã 10 năm. Mẹ tôi có tiêm được vaccine Covid-19 không? Nếu có thì cần lưu ý đến loại vaccine nào không? Chồng tôi năm nay 51 tuổi, bị bệnh xơ vữa động mạch cảnh, gout và huyết áp cao. Xin cho hỏi là chồng tôi có thể tiêm vaccine Covid-19 không?","Với hai trường hợp bệnh lý mà chị hỏi, nếu trong trường hợp bệnh mạn tính đã ổn định >= 3 tháng mà không phải thay đổi phác đồ điều trị hoặc không phải nhập viện vẫn có thể tiến hành tiêm vaccine Covid-19 tại khối bệnh viện."
"Hiện tôi đang bị gout, có uống thuốc và thực phẩm chức năng. Bác sĩ cho tôi hỏi khi uống thuốc điều trị có được tiêm vaccine không? Hoặc nếu không uống bao nhiêu ngày thì được tiêm vaccine Covid-19?","Anh đang điều trị Gout trong giai đoạn ổn định không phải đợt cấp, sức khỏe tốt hoàn toàn có thể được tiêm vaccine Covid-19."
"Phục hồi trí nhớ sau đột quỵ ở người có kèm bệnh lý tiểu đường, gout, suy thận, huyết áp cao thế nào?","Bố em bị mất trí nhớ sau đột quỵ, tuy nhiên do bố em có nhiều bệnh lý kết hợp nên chọn lựa thuốc cần được lưu ý các bệnh lý đi kèm. Vì vậy, với thắc mắc “phục hồi trí nhớ sau đột quỵ ở người có kèm bệnh lý tiểu đường, gout, suy thận, huyết áp cao thế nào?” Bác sĩ khuyên em và gia đình nên đưa bố tái khám các chuyên khoa Thần kinh, Nội tiết, Tim mạch, Nội Thận để được khám và điều trị."
"Chỉ số chức năng gan, chức năng thận và mỡ máu có nguy cơ cao mắc bệnh gì ?","Các kết quả xét nghiệm của bạn được thực hiện trên hệ thống xét nghiệm khác nhau thì giá trị khoảng tham chiếu có thể chênh lệch chút ít. Bạn có thể đối chiếu kết quả xét nghiệm của mình với khoảng tham chiếu mà đã được các phòng xét nghiệm cung cấp trong tờ phiếu kết quả xét nghiệm.Tuy nhiên, dù là làm trên hệ thống máy xét nghiệm nào thì các kết quả xét nghiệm của bạn cũng đang ở mức cao hoặc ngưỡng cao của khoảng tham chiếu (95% người bình thường có kết quả xét nghiệm nằm trong khoảng này).Dựa trên các kết quả xét nghiệm này cho thấy, bạn có thể có các vấn đề dưới đây:Cholesterol= 11.5 mmol/L; Triglyceride = 14.4 mmol/L: Có rối loạn chuyển hóa nhóm mỡ (tăng mỡ máu).Uric acid = 495.3 μmol/L: Tăng acid uric máu.GGT = 139.6 U/L: Tăng men GGT, nguyên nhân thường gặp nhất của tăng men này là do sử dụng rượu, tiếp theo là có thể đang có tắc mật.Ure = 8.0 mmol/L, Creatinin = 129.9 μmol/L và eGFR = 57.7: Cho thấy chức năng thận đã bị ảnh hưởng.Với tình trạng hiện nay, bạn nên thăm khám trực tiếp với bác sĩ nội khoa Tim mạch và bác sĩ dinh dưỡng để được tư vấn về chế độ ăn uống, luyện tập cũng như cách dùng thuốc.Trong quá trình theo dõi diễn biến sức khỏe bằng các xét nghiệm, bạn lưu ý một số thông tin dưới đây:Kết quả các xét nghiệm Cholesterol, Triglycerid, Acid uric, Ure có thể bị ảnh hưởng bởi chế độ ăn: Nếu như trước khi xét nghiệm mà bạn có các bữa ăn nhiều Protein, phủ tạng động vật, hải sản, uống rượu bia thì kết quả xét nghiệm có thể bị tăng cao hơn (tăng giả tạo).Kết quả xét nghiệm creatinin có thể bị ảnh hưởng nếu như trước khi xét nghiệm bạn có vận động thể lực nhiều.Kết quả chỉ số eGFR: phụ thuộc vào nồng độ creatinin máu, tuổi, giới và cân nặng của bạn.Đối với trường hợp cụ thể của bạn: khi đi xét nghiệm, mẫu máu tốt nhất để thực hiện các xét nghiệm trên là mẫu máu được lấy sau 2-3 ngày bạn không có vận động thể lực quá mức, không có các bữa ăn nhiều chất như nêu trên khoảng 1 tuần, sau nhịn ăn 12 giờ và không uống rượu bia trong 24 giờ."
"Tôi năm nay 66 tuổi bị bệnh tiểu đường, gút thì có tiêm vaccine Covid-19 được không?","Theo hướng dẫn của Bộ Y tế, trường hợp bệnh tiểu đường, gout nếu đã được kiểm soát, bác có thể được tiêm chủng vaccine Covid-19 nếu không có chống chỉ định nào khác. Với tình hình dịch đang diễn biến rất phức tạp, người cao tuổi có kèm bệnh nền là nhóm người nhạy cảm dễ bị bệnh nặng/nghiêm trọng nếu không may mắc phải bệnh Covid-19."
"Tôi bị bệnh gout đã 5 năm, acid uric là 550 ml, cao 160 cm nặng 66 kg. Tôi có nên tiêm vaccine ngừa Covid-19 hay không?. Tôi có tiền sử bị dị ứng thời tiết, hiện đã hết nhưng bị dị ứng nếu ăn tôm đồng.","Nếu như tình trạng bệnh của anh hiện tại đã ổn định thì có thể tiêm vaccine Covid-19. Đối với trường hợp dị ứng, anh cần được bác sĩ khám sàng lọc trực tiếp trước khi tiêm để đánh giá tình trạng trực tiếp và quyết định có thể tiêm chủng tại cơ sở y tế hay chuyển viện."
Điều trị cao huyết áp 4 năm nhưng các chỉ số giảm ít nên làm gì?,"Bệnh nhân điều trị cao huyết áp 4 năm nhưng các chỉ số giảm ít thì nên khám Tim mạch để thay đổi thuốc hoặc tăng liều thuốc phù hợp.Thuốc điều trị cao huyết áp hiệu quả có nhiều nhóm phù hợp cho từng bệnh lý. Với người thân của bạn bị tăng Acid Uric và suy thận thì cần tránh nhóm lợi tiểu Hypothiazid gây tăng Acid Uric, lựa chọn thuốc huyết áp thuộc nhóm ức chế men chuyển hoặc ức chế thụ thể Angiotensin có tác dụng bảo vệ thận, có thể kết hợp thêm nhóm thuốc chẹn kênh Calci không gây suy thận mà hiệu quả hạ áp tốt. Những lựa chọn này cần bác sĩ chuyên khoa chỉ định và theo dõi liên tục đáp ứng điều trị nên người bệnh cần đi khám trực tiếp.Ngoài việc dùng thuốc hạ áp, để cải thiện tình trạng huyết áp cao người bệnh cần tuân thủ chế độ ăn nhạt, giảm muối natri, không nên ăn đồ hộp, dưa muối, thức ăn muối,...tập thể dục hàng ngày tùy theo khả năng gắng sức, có chế độ sinh hoạt điều độ, tránh các stress tâm lý, thay đổi môi trường đột ngột."
Có chữa trị dứt điểm bệnh vảy nến thể giọt được không?,"Bệnh vảy nến thể giọt cũng là một thể của bệnh vảy nến. Bệnh vảy nến là một bệnh mạn tính, hiện chưa có thuốc chữa khỏi hoàn toàn. Tuy nhiên, có thể kiểm soát và hạn chế được bệnh. Chẩn đoán bệnh dựa trên triệu chứng và xét nghiệm sinh thiết da. Tùy từng trường hợp cụ thể, bệnh nhân có thể được chỉ định các xét nghiệm như công thức máu, hóa sinh máu có bao gồm chức năng gan, thận, đường huyết, acid uric, xét nghiệm tình trạng nhiễm trùng và virus,... Hiện nay có nhiều phương pháp điều trị vảy nến, bao gồm tại chỗ (thuốc bôi), thuốc uống, liệu pháp ánh sáng, thuốc sinh học. Mỗi một bệnh nhân có tình trạng bệnh khác nhau cũng như mỗi phương pháp đều có ưu nhược điểm riêng. Việc điều trị bệnh nhân vảy nến vừa cần phối hợp theo phác đồ kết hợp cá thể hóa điều trị để giúp điều trị hiệu quả hơn. Vì vậy, bạn nên đến thăm khám bác sĩ chuyên khoa khám, tư vấn và điều trị."
"Chỉ số Uric acid: 248.2 μmol/l, AFP: 2.33, Ca 72-4: <1.5, Cea:1.97 có sao không?","Acid uric là sản phẩm thoái hóa nhân purin của các acid nucleic. Acid uric được tổng hợp tại gan, thải ra khỏi cơ thể 80% qua đường nước tiểu và 20% qua đường tiêu hóa.Nếu quá trình tổng hợp và đào thải acid uric xảy ra cân bằng, lượng acid uric trong máu sẽ thuộc giới hạn bình thường. Nếu lượng acid uric tạo thành nhiều hoặc khả năng đào thải của thận giảm, lượng acid uric trong máu sẽ tăng lên và lắng đọng trong các mô.Acid uric khi lắng đọng trong các khớp có thể gây nên bệnh gout, là một bệnh do rối loạn chuyển hóa, đặc trưng bởi sự sưng đau các khớp dữ dội. Nếu acid uric lắng đọng ở thận có thể gây sỏi thận, lắng đọng ở tim sẽ gây bệnh tim mạch,...Xét nghiệm acid uric được thực hiện để chẩn đoán các bệnh lý gây biến đổi nồng độ acid uric trong cơ thể. Giá trị bình thường của acid uric trong máu ở nữ là: 154.7 - 357.0 μmol/LAlpha-fetoprotein (AFP) là protein huyết tương có nồng độ cao trong máu thai nhi.Thông thường, một protein AFP sẽ được tạo ra bởi các tế bào gan chưa trưởng thành trong bào thai. Những người trưởng thành khỏe mạnh và không mang thai thường có nồng độ AFP trong máu rất thấp.Khi bạn bị mắc các bệnh về gan, một số căn bệnh ung thư hoặc đang mang thai thì chất này sẽ xuất hiện nhiều hơn trong máu. Giá trị bình thường của AFP là <9.0 ng/mlCA 72-4 (kháng nguyên ung thư 72-4) là kháng nguyên do tế bào trong cơ thể sản xuất, được tìm thấy trên bề mặt của nhiều loại tế bào như: tế bào buồng trứng, vú, đại tràng, tụy, đặc biệt tế bào ung thư biểu mô dạ dày có khả năng chế tiết CA 72-4 cao hơn so với các cơ quan khác. Giá trị bình thường của CA 72-4 là < 6.9 U/mLNhư vậy, các chỉ số acid uric: 248.2 μmol/l, AFP: 2.33, Ca 72-4: <1.5, Cea:1.97 của bạn đều trong giới hạn bình thường"
"Tôi năm nay 47 tuổi, bị gout khoảng 7 năm, mật và thận có sỏi, huyết áp hơi cao một chút (chưa phải uống thuốc). Bác sĩ cho hỏi tôi có tiêm được vaccine Covid-19 không?","Nếu bệnh gout, huyết áp và gan mật. . . của anh/chị đã được điều trị ổn định thì có thể được tiêm vaccine Covid-19. Bác sĩ khám sàng lọc sẽ khám trực tiếp để đánh giá tình trạng sức khỏe hiện tại của anh/chị như các chỉ số huyết áp, mạch. . ."
"Tôi năm nay 52 tuổi, nam giới. Tôi có bệnh huyết áp cao phải uống thuốc mỗi ngày. Vào tháng 7/2020, tôi bị dị ứng nặng với thuốc giảm acid uric trong máu. Lúc đó, tôi bị sưng mặt và nổi đỏ toàn thân, có nơi trên cơ thể bị viêm da mủ. Tôi nằm điều trị ở bệnh viện 10 ngày, sau đó về nhà uống thuốc gần một tháng nữa thì hết đỏ toàn thân. Nhưng từ lúc đó đến nay tôi hay bị nổi mụn, mẩn ngứa. Cho đến giờ tôi vẫn phải đi khám da liễu và uống thuốc mỗi ngày. Bác sĩ da liễu nói tôi bị viêm da cơ địa dị ứng.Xin hỏi bác sĩ là với tiền sử dị ứng thuốc và vẫn đang bị nổi mẩn ngứa, uống thuốc da liễu hàng ngày như hiện giờ thì tôi có thể tiêm vaccine Covid-19 được không ạ?","Anh bị dị ứng thuốc với nhiều biểu hiện phải nằm viện 10 ngày. Trong trường hợp nếu anh được điều trị và được chẩn đoán phản vệ từ độ 2 trở lên cần chống chỉ định tiêm phòng vaccine Covid-19. Ngoài ra, anh đang nổi mẫn ngứa còn dùng thuốc điều trị hàng ngày cần trì hoãn việc tiêm vaccine Covid-19."
Thỉnh thoảng tôi bị gout có chích vaccine Covid-19 được không? Gout có phải là một dạng viêm khớp không?,"Gout là một dạng viêm khớp, được đặc trưng bởi các đợt khớp cấp tái phát, vì vậy, theo hướng dẫn của Bộ Y tế về khám sàng lọc trước khi tiêm chủng vaccine phòng Covid-19. Nếu đang mắc bệnh cấp tính thì anh/chị sẽ thuộc đối tượng cần trì hoãn tiêm chủng vaccine Covid-19 cho đến khi bệnh lý được điều trị ổn định. Do vậy, điều quan trọng trước mắt là anh/chị nên tuân thủ điều trị để cải thiện sức khỏe, cải thiện bệnh cấp tính. Đến khi sức khỏe và bệnh lý đã ổn định thì anh/chị có thể tiêm ngừa vaccine Covid-19 bình thường."
"Tăng lipid máu có gây đau đầu và giảm trí nhớ, rụng tóc không?","Không biết bạn bao nhiêu tuổi?Chỉ số tăng lipid máu như thế nào?Uống thuốc giảm mỡ máu loại gì và uống được bao nhiêu tháng?Chế độ ăn kiêng và tập thể dục như thế nào?Tăng Lipid máu là bệnh liên quan đến rối loạn chuyển hóa. Nguyên nhân có thể do chế độ ăn, sinh hoạt cũng có thể do yếu tố di truyền và có thể đi kèm với các bệnh lý tim mạch, tiểu đường, gút. . . . Tăng lipid máu có thể gây ra nhiều biến chứng nguy hiểm như: Xơ vữa mạch máu gây nhồi máu cơ tim, tai biến mạch não, cơn đau thắt ngực, đau đầu, . . . . . Các bệnh lý liên quan đến tuyến nội tiết triệu chứng thường khá mờ nhạt, mơ hồ và thường chỉ làm xét nghiệm mới chẩn đoán được. Do vậy, trường hợp của bạn nên đến bệnh viện gặp bác sĩ chuyên khoa Tim mạch để được chẩn đoán tư vấn và hướng dẫn điều trị một cách cụ thể bạn nhé"
Da đầu nổi mụn kèm rụng tóc là dấu hiệu của bệnh gì?,"Một người khỏe mạnh có thể rụng từ 50 đến 100 sợi tóc/ngày. Sau khi tóc rụng một lượng tóc mới sẽ được mọc lên để thay thế, bù lại số lượng sợi tóc đã bị rụng để đảm bảo độ dày ổn định cho mái tóc. Khi lượng tóc rụng lớn hơn 100 sợi/ ngày thì được gọi là bệnh rụng tóc. Theo thông tin mô tả, bác sĩ chẩn đoán bạn bị rụng tóc và viêm nang lông. Rụng tóc thường liên quan đến một hoặc nhiều yếu tố sau đây:Tiền sử gia đình (di truyền): Nguyên nhân phổ biến nhất của rụng tóc nam là di truyền, gây ra hói đầu. Đôi khi nguyên nhân này cũng gặp ở một số trường hợp rụng tóc nữ. Tình trạng này thường xảy ra song song với lão hóa và gần như có thể dự đoán được hình thái của tóc qua thời gian (xuất hiện các đốm hói đối với rụng tóc nam và tóc mỏng dần đối với rụng tóc nữ);Thay đổi nội tiết tố và bệnh lý: Một loạt các rối loạn liên quan đến hormone có thể gây rụng tóc vĩnh viễn hoặc tạm thời, bao gồm thay đổi nội tiết tố trong thai kỳ, sinh nở, mãn kinh và các vấn đề về tuyến giáp. Những nguyên nhân từ bệnh lý bao gồm bệnh rụng tóc từng vùng (alopecia areata), nhiễm trùng da đầu như khi nhiễm giun đũa và một hội chứng gọi là “nghiện giật tóc” (trichotillomania);Thuốc và chất bổ sung: Rụng tóc có thể gây ra do tác dụng phụ của một số loại thuốc, chẳng hạn như thuốc trị ung thư, viêm khớp, trầm cảm, thuốc dùng trong bệnh tim, huyết áp cao và thuốc trị gout;Xạ trị lên phần đầu: Tóc có nguy cơ không thể mọc lại như trước;Căng thẳng: Nhiều người gặp tình trạng tóc rụng nhiều sau khi nhận một cú sốc về thể chất hoặc tinh thần. Loại này chỉ xuất hiện tạm thời;Một số kiểu tóc và phương pháp điều trị: Những kiểu “làm tóc” lạ hoặc thắt tóc quá chặt, chẳng hạn như thắt bím tóc hoặc thắt tóc kiểu cornbow (tóc dính sát da đầu kiểu hình hạt bắp) có thể là nguyên nhân gây rụng tóc. Ngoài ra, việc áp dụng những phương pháp điều trị trên tóc (như dùng dầu nóng) tiến hành lâu dài có thể gây viêm nang lông, dẫn đến rụng tóc. Nếu để xảy ra sẹo, có thể rụng tóc vĩnh viễn.Phương pháp điều trị rụng tóc bao gồm sử dụng thuốc, phẫu thuật để kích thích mọc tóc và làm chậm rụng tóc. Bạn cần thăm khám bác sĩ chuyên khoa Da Liễu để có chỉ định xét nghiệm, chẩn đoán và điều trị cụ thể."
"Chồng tôi 61 tuổi có bệnh huyết áp trên 10 năm, gout, men gan cao. Như vậy cần chuẩn bị gì trước khi tiêm vaccine Covid-19? Chồng tôi có thuộc đối tượng hoãn tiêm không? Có phải đến bệnh viện để được theo dõi sức khỏe sau tiêm không? Tôi muốn được tư vấn rõ hơn.","Các bệnh lý mạn tính của chồng chị cần được điều trị ổn định >=3 tháng mới có thể tiêm chủng vaccine Covid-19. Nếu các chỉ số ngoài giới hạn cho phép chồng chị sẽ hoãn tiêm chủng. Khi đi tiêm chồng chị mang theo kết quả xét nghiệm gần nhất và các thuốc đang sử dụng, bác sĩ khám sàng lọc sẽ quyết định bác đủ điều kiện tiêm hay hoãn và sẽ hướng dẫn cách theo dõi chăm sóc sau tiêm cho chồng chị."
"Hiện tôi đang uống thuốc trị gout. Vậy cho hỏi, tôi có được tiêm vaccine Covid-19 bình thường không? Hay phải ngưng thuốc bao lâu mới được tiêm vaccine? Nếu chân đau, nhức có được tiêm không?","Anh/chị đang uống thuốc điều trị gout, nhưng không nói rõ là tình trạng cấp tính hay mạn tính, chỉ số acid Uric đã về mức bình thường chưa. Nếu hiện tại anh/chị đang dùng thuốc cho đợt cấp thì phải hoãn tiêm khi nào ổn định > 3 tháng mới được tiêm vaccine Covid-19."
Tôi bị gout và dị ứng thuốc điều trị gout vậy có tiêm được vaccine Covid-19 không?,"Theo bạn chia sẻ thì bạn bị dị ứng thuốc điều trị gout, chúng tôi không biết mức độ dị ứng có phải nhập viện cấp cứu hay chỉ bị nổi mẩn trên da rồi tự hết. Có hai trường hợp để bạn biết mình có thể tiêm được vaccine Covid-19 hay không gồm: - Nếu trường hợp bạn dị ứng kháng sinh mà có khó thở, có tím tái phải nhập viện thì trường hợp này chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. - Nếu bạn chỉ bị nổi mẩn đỏ ít trên da, không cần điều trị, tự hết thì vẫn có thể tiêm vaccine Covid-19, tuy nhiên bạn cần tiêm tại bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu."
Tôi bị gout liệu có thể tiêm vaccine Covid-19 được không bác sĩ?,"Theo QĐ 2995 của Bộ Y tế thì những trường hợp bệnh mạn tính đã ổn định thì vẫn được tiêm chủng vaccine Covid-19. Vì thế nếu bệnh gout của đã điều trị ổn định, anh/chị vẫn có thể tiêm vaccine Covid-19. Khi đi tiêm chủng, anh/chị cần mang theo các hồ sơ sức khỏe liên quan đến bệnh, bác sỹ khám sàng lọc sẽ đánh gía cụ thể tình trạng sức khỏe trước khi chỉ định tiêm chủng."
